
2025/04/21 (23:40:29) | ===> btop++ v.1.4.0
2025/04/21 (23:40:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (23:41:46) | ===> btop++ v.1.4.0
2025/04/21 (23:41:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/22 (16:19:05) | ===> btop++ v.1.4.0
2025/04/22 (16:19:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/22 (16:24:22) | ===> btop++ v.1.4.0
2025/04/22 (16:24:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/22 (19:09:09) | ===> btop++ v.1.4.0
2025/04/22 (19:09:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/22 (19:13:47) | ===> btop++ v.1.4.0
2025/04/22 (19:13:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (03:09:56) | ===> btop++ v.1.4.0
2025/04/24 (03:09:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (03:22:22) | ===> btop++ v.1.4.0
2025/04/24 (03:22:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (03:26:25) | ===> btop++ v.1.4.0
2025/04/24 (03:26:25) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/24 (03:31:00) | WARNING: Failed to join _runner thread on exit!

2025/04/24 (15:53:15) | ===> btop++ v.1.4.0
2025/04/24 (15:53:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (23:15:21) | ===> btop++ v.1.4.0
2025/04/24 (23:15:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/26 (22:59:12) | ===> btop++ v.1.4.0
2025/04/26 (22:59:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/26 (23:01:33) | ===> btop++ v.1.4.0
2025/04/26 (23:01:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (02:57:52) | ===> btop++ v.1.4.0
2025/04/27 (02:57:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (16:39:25) | ===> btop++ v.1.4.0
2025/04/27 (16:39:25) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/27 (16:39:33) | WARNING: Failed to join _runner thread on exit!

2025/04/27 (16:48:16) | ===> btop++ v.1.4.0
2025/04/27 (16:48:16) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/27 (16:48:20) | WARNING: Failed to join _runner thread on exit!
